ID,Player,Team,ESPN POS,ESPN MVPOS,YAHOO POS,YAHOO MVPOS,Rank,PA,AB,R,HR,RBI,SB,AVG,OBP,H,H+BB+HBP,IP,W,L,ERA,WHIP,K,SV,ER,H+BB,Blurb
1744,Miguel Cabrera,DET,3B,3B,3B,3B,1,662,575.0567378,110,39,124,3,0.327,0.405,188,268,,,,,,,,,,"To those that don't know (and none of you do), I recently moved.  Only about five minutes from where I used to be, so we'll be sure to stay in touch!  So, in my new place, I've decided to decorate.  I'm going to hire a bunch of different artists to do portraits of me.  It will be up to them how they want to portray me.  If they simply want to focus on my mustache, then that's their call.  I hope one asks to do a nude portrait of me with nothing but a serpent covering up my naughty bits.  I tell you this now, because I have nothing to say for Swiggy.  He was just the first Triple Crown winner since Yaz in 1967.   He's awesome.  You don't know this already?  This is the first tier.  This tier goes from here until Mike Trout.  I call this tier, _Miggy's going to a picnic and he's bringing the best for fantasy baseball.Ó"
3410,Ryan Braun,MIL,OF,OF,OF,OF,2,673,601.7085247,105,34,116,22,0.319,0.371,192,250,,,,,,,,,,"The top guy is someone who has struggled with alcohol, the second is a guy who was nearly suspended for drugs and the fourth guy made you feel like you were high.  It's just like the golden days of baseball when Babe Ruth and Fatty Arbuckle were unscrewing their Coke bottles with vaginas and Ty Cobb was smoking opium with Eleanor Roosevelt and her lesbian friends.  (This is all according to J. Edgar Hoover's secret files, so your _truth mileageÓ may vary.)  I could see Braun number one and Miggy number two, but I went with them this way because of position eligibility and I get worried that any year now Braun is going to revert to being a 15-steal guy rather than a 30-steal guy."
9847,Andrew McCutchen,PIT,OF,OF,OF,OF,3,651,567.9730838,102,30,107,27,0.295,0.374,168,243,,,,,,,,,,"And just like that, my first curveball!  Due to this ranking, I plan on owning McCutchen in every league.  Unlike Braun and Miggy, The Dread Pirate is actually entering his prime.  Sure, his runs and RBIs might be a tad wonky due to the Pirates.  Clint Barmes can only do so much!  Or maybe that sentence meant to read, Clint Barmes can only do nothing.  Neverthehoo!  McCutchen has the speed to steal more than 20 bags, but he does need to figure out how to use said speed -- his caught stealing percentage isn't terrific.  I looked at our <a href=""http://razzball.com/playerrater/"" rel=""nofollow"">Player Rater</a> from last year and I tried to figure out one guy that could be better this year after a top ten year in twenty after twelve.  McCutchen was the only one I saw.  The only trick will be him keeping his average above .290."
10155,Mike Trout,LAA,OF,OF,OF,OF,4,696,618.6460637,108,19,102,48,0.326,0.36,202,250,,,,,,,,,,"I've read a lot about how Trout just had a rookie year that we may never see again from a rookie.  Ain't that right, boo?  True.  Something people are not saying is that we may never see another year like that from Trout.  His highest homer output in any pro season before was in Double-A when he hit 11 homers.  Granted, it was only in 91 games, but still.  Before he was called up, he only had one homer in Triple-A last year in 20 games.  His May, when he hit 5 homers and had a 15.6% HR/FB, looks doable.  His June with 3 homers and a 12.5% HR/FB is easy for him.  Like Trout shooting his kinfolk in a barrel.  His July with 10 homers and a 31.3% HR/FB is silly.  If he hits 41% fly balls all year as he did in July, he's not going to hit 60 homers on the year.  What he will do is hit 25 homers and .270 or lower.  In 40 games in 2011 when he hit 40% fly balls, he hit .220.  He has top echelon speed.  He needs to hit line drives and ground balls with the occasional home run.  The 49 steals don't look like a fluke.  He's the fastest white boy I've seen since Jason Mewes stopped doing crank.  A 20-ish homer, 50-ish steal season is still very valuable."
3269,Robinson Cano,NYA,2B,2B,2B,2B,5,674,612.021181,105,30,110,4,0.310,0.353,190,238,,,,,,,,,,"This is a new tier.  This tier goes from here until Votto.  I call this tier, _This tier might not leave you in titters, but no one says titters who was born after 1912 so it doesn't matter.Ó After drafting Cano (and other players in this tier), you may not find yourself lighting a cigarette and talking about how you never saw fireworks in the shape of watermelons before.  This tier is my attempt to add some stability into the top ten.  Some fantasy baseball ¥perts may try and add some _excitementÓ into their top ten with Buster Posey or Adrian Beltre.  These same ¥perts probably had Jacoby Ellsbury in their top ten last year.  Excitement is great if it's not going to cost you your fantasy season.  If Cano has a bad season, he gets 28 homers, 100 runs, and 110 RBIs.  If Cano has a good season, he gets 32 homers, 110 runs and 120 RBIs.  Since 2nd base is hella shallow, as the kids would say in 2002, I'll take reliable 30-ish homer power from Cano fifth."
1177,Albert Pujols,LAA,1B,1B,1B,1B,6,662,581.0273927,103,32,112,7,0.297,0.379,173,251,,,,,,,,,,"You're not going to get a more miserable month from Pujols than what you got last April.  In his first 92 ABs of the season, he had zero homers, 4 RBIs and a .217 average.  And he still finished in the top 25 overall with 30 homers, 105 RBIs and a .285 average.  So, if he hits .250 with 3 homers in April, we don't even blink twice about drafting Pujols.  BTW, if you can blink your Pujols even once, seek medical attention."
4613,Prince Fielder,DET,1B,1B,1B,1B,7,647,539.0007485,94,39,117,1,0.291,0.404,157,261,,,,,,,,,,"His even/odd homer years continued in 2012.  In even years, his homers have been 28, 34, 32, 30.  In odd years:  50, 46, 38.  Unless your Garfield desk calender is in Jewish years, and you're like, _Yo, happy 5773, SchlomoÓ it's pretty clear we're about to have a huge year from Prince.  Now, even if this fairly anecdotal reasoning doesn't hold up, Prince is still good for 30 homers and nice counting stats."
4314,Joey Votto,CIN,1B,1B,1B,1B,8,662,550.9700674,104,25,110,5,0.320,0.418,176,277,,,,,,,,,,"Votto could be in a sub-section of this tier, if making a sub-section of make-believe tiers on a fantasy baseball blog didn't scream someone needs a new hobby.  Sure, Votto didn't have a huge 2012, but that was due to an injury.  Will he have a problem moving forward in 2013?  Maybe, but that's why God invented running backwards.  Votto did admit that his knee was an issue for him down the stretch when he didn't hit a homer in his last five weeks after he returned.  He's 29 years old and should be fine with the offseason rest.  Even if he can't power balls out at a 30+ homer pace, he's a virtual lock for 100 runs, 100 RBIs, and a .320 average in a full season of at-bats.  I'll take 25 homers with that."
4949,Giancarlo Stanton,MIA,OF,OF,OF,OF,9,643,569.1143051,92,45,110,7,0.277,0.353,158,227,,,,,,,,,,"This is a new tier.  This tier goes from here into the top 20 for 2013 fantasy baseball.  I call this tier, _I really like these guys.  Question marks be damned.Ó  Member how I said at the beginning of the last tier that you should go with safe even if it means less than exciting?  Well, Giancarlo and Upton may be exciting, but they're also safer than you think.  I'll explain.  Early on in 2012, here's a few of things said on this blog in the comments.  _Grey, you really think Ryan Braun can produce without Prince Fielder in the lineup?  BTW, is your avatar actual size?Ó  I said, yes and yes.  Also heard last year, _I'm not touching McCutchen because of that lineup.  I'd much rather Giancarlo or Hanley.  Their lineup is stacked.  Now, do you apply John Frieda Extra-Sheen Mustache Conditioner before or after you shower?Ó  Here's the thing, and thing is pretty big.  That's what she said!  Huh?  The thing is, you don't know what is going to happen with runs and RBIs beyond a clean-up hitter should get around 100-something RBIs and 90-something runs.  Maybe Juan Pierre will decide to steal 2nd 70 times and Giancarlo will knock in 120 RBIs.  Maybe Giancarlo will hit 45 solo homers and only score 52 runs all year.  Maybe they take down the center field sculpture of unicorn vomit, realize that was actually blocking a jetstream and Stanton hits 70 homers.  Maybe the dude who wrote up the Mayan calender in 12,000 B.C. had sloppy handwriting and meant 2013 for the apocalypse.  Forget maybes.  Stanton will hit 40+ homers, steal 7 bases and hit .275.  Let the counting stats figure themselves out."
5222,Justin Upton,ARI,OF,OF,OF,OF,10,659,580.7779819,100,28,104,19,0.284,0.376,165,248,,,,,,,,,,"Last year, he had the worst season you can imagine for him.  Unless your imagination also includes dwarfs.  That season was still 107/17/67/.280/18.  That was with a career low HR/FB%, which was coupled by a thumb injury that he needed fluid drained from in April.  He played through the injury, but not until August did it really start to feel better.  How do I know this?  He hit nine homers in August and September combined.  In the four months combined before that, he hit 8 homers.  In September alone, he hit 6 homers and .301.  Further, he was playing with a pad around his thumb for the majority of last season.  His thumb felt good enough in August to remove the pad.  When he removed the pad, he hit eight homers in his final 36 games.  Don't make me say it again.  Okay, one more time.  He hit 8 homers in 36 games when his thumb finally was healed.  If you wanna draft for 2012, then draft Edwin Encarnacion.  If you wanna draft for 2013, draft Justin Upton.  Albright out.  Update: Albright back in.  After the above was written, Upton moved to be closer to his big brother in Atlanta.  This is like a Mitch Albom book.  B.J.'s schnauzer will now get a rare disease and the mutual love of the dog will bring the two Uptons together, which will be captured on a limited edition Topps baseball card.  The card will be in black and white and Gale Sayers will begin signing the card before motivational speeches.  Nothing changes from what I said pre-trade about Upton.  Chase Field is slightly better; his lineup will be better; Turner Field isn't a bad park to hit in; the sight of his brother's dirty underwears in his locker like when they were kids will motivate him.  It's a nice story of brothers, the numbers won't change much and I still like Upton a lot."
